sample,n,slope,se,t,p,ci_low,ci_high,r_squared,effect_per_10_blame_points
primary,46,-0.30527862244477716,0.1176426605119193,-2.59496530524186,0.012805307281138515,-0.5423718258117951,-0.06818541907775919,0.13272885080919997,-3.0527862244477717
strict,45,-0.30513967752395793,0.11922906332957205,-2.5592726219822195,0.014089544123615688,-0.5455879994619461,-0.0646913555859697,0.13218754183930875,-3.051396775239579
