outcome_var,n,mean,sd,se,ci_low,ci_high,outcome_label
feelings_boththemfirst,46,17.47826086956522,11.265954869891623,1.6610744239696105,14.132685243064726,20.82383649606571,"Other apologizes first, then I"
feelings_bothyoufirst,46,7.847826086956521,14.290583366219167,2.1070315661099888,3.6040466691754744,12.091605504737567,"I apologize first, then other"
feelings_neither,46,-14.5,11.064959707713957,1.6314393040804647,-17.785887431101873,-11.214112568898127,Neither apologizes
feelings_themalone,46,-5.391304347826088,16.724537211161817,2.465898482199066,-10.357878837459364,-0.42472985819281295,"Other apologizes first, I do not"
feelings_youalone,46,-18.608695652173914,12.015690225459496,1.771616871393025,-22.176915196645087,-15.04047610770274,"I apologize first, other does not"
feelings_youaloneforgiven,46,-14.26086956521739,15.625385019410913,2.3038373329353705,-18.90103614491273,-9.62070298552205,"I apologize first, other forgives"
