contrast_label,first_var,second_var,first_label,second_label,n,first_mean,second_mean,mean_diff_first_minus_second,ci_low_diff,ci_high_diff,t_statistic,df,p_value,dz_first_minus_second
"Other apologizes first, then self — minus — Self apologizes first, then other",feelings_boththemfirst,feelings_bothyoufirst,"Other apologizes first, then self","Self apologizes first, then other",46,17.47826086956522,7.847826086956521,9.630434782608695,5.411948245997792,13.848921319219599,4.598021390778526,45,3.461538463810621e-5,0.6779412682984467
Average mutual apology rating — minus — Neither apologizes,mutual_avg,feelings_neither,Average mutual apology rating,Neither apologizes,46,12.66304347826087,-14.5,27.163043478260867,22.11204178113313,32.214045175388605,10.83135211635218,45,4.017575540796629e-14,1.5969957438374507
"Self apologizes first, then other — minus — Self apologizes, other forgives (no apology)",feelings_bothyoufirst,feelings_youaloneforgiven,"Self apologizes first, then other","Self apologizes, other forgives (no apology)",46,7.847826086956521,-14.26086956521739,22.108695652173914,16.9601021065646,27.257289197783226,8.648808347816255,45,3.996201708383166e-11,1.2751972212108325
